geometry,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii
POINT (168.6854101 -45.0284026576),3054,AIMS,3022,5,Gum Lane,"5 Gum Lane, Queenstown",Queenstown-Lakes District,,,,,,5,,,,Gum,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6854101,-45.02840262,Gum,,,Queenstown,Queenstown,Gum Lane,"5 Gum Lane, Queenstown"
POINT (168.84012925 -44.9436824076),5263,AIMS,5140,14,Devon Street,"14 Devon Street, Arrowtown",Queenstown-Lakes District,,,,,,14,,,,Devon,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.84012925,-44.94368237,Devon,,,Arrowtown,Arrowtown,Devon Street,"14 Devon Street, Arrowtown"
POINT (168.8384236 -44.9475498076),5813,AIMS,5659,9,Hood Crescent,"9 Hood Crescent, Arrowtown",Queenstown-Lakes District,,,,,,9,,,,Hood,Crescent,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8384236,-44.94754977,Hood,,,Arrowtown,Arrowtown,Hood Crescent,"9 Hood Crescent, Arrowtown"
POINT (168.80002315 -44.9514550742),1930936,AIMS,1497879,1,Heenan Lane,"1 Heenan Lane, Arrowtown",Queenstown-Lakes District,,,,,,1,,,,Heenan,Lane,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.80002315,-44.95145503,Heenan,,,Arrowtown,Arrowtown,Heenan Lane,"1 Heenan Lane, Arrowtown"
POINT (168.6933638697 -45.024427811),3132006,CADS,132006,1A,Panners Way,"1A Panners Way, Queenstown",Queenstown-Lakes District,,,,,,1,A,,,Panners,Way,,,,Queenstown,Queenstown,Thoroughfare,Current,168.69336387,-45.02442777,Panners,,,Queenstown,Queenstown,Panners Way,"1A Panners Way, Queenstown"
POINT (168.6624444497 -45.029515721),3132467,CADS,132467,11C,Henry Street,"11C Henry Street, Queenstown",Queenstown-Lakes District,,,,,,11,C,,,Henry,Street,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66244445,-45.02951568,Henry,,,Queenstown,Queenstown,Henry Street,"11C Henry Street, Queenstown"
POINT (168.6571841297 -45.0245774111),3132559,CADS,132559,8B,Reavers Lane,"8B Reavers Lane, Queenstown",Queenstown-Lakes District,,,,,,8,B,,,Reavers,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.65718413,-45.02457737,Reavers,,,Queenstown,Queenstown,Reavers Lane,"8B Reavers Lane, Queenstown"
POINT (168.6659866197 -45.027978121),3134405,CADS,134405,7/15,Kerry Drive,"7/15 Kerry Drive, Queenstown",Queenstown-Lakes District,,7,,,,15,,,,Kerry,Drive,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66598662,-45.02797808,Kerry,,,Queenstown,Queenstown,Kerry Drive,"7/15 Kerry Drive, Queenstown"
POINT (168.6663807597 -45.033958321),3135270,CADS,135270,405/24,Frankton Road,"405/24 Frankton Road, Queenstown",Queenstown-Lakes District,,405,,,,24,,,,Frankton,Road,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66638076,-45.03395828,Frankton,,,Queenstown,Queenstown,Frankton Road,"405/24 Frankton Road, Queenstown"
POINT (172.2486289833 -43.7868301408),906978,AIMS,2697003,75,Cowans Road,"75 Cowans Road, Leeston",Selwyn District,,,,,,75,,,,Cowans,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.24862898,-43.7868301,Cowans,,,Leeston,Leeston,Cowans Road,"75 Cowans Road, Leeston"
POINT (172.1421776167 -43.4579173074),123533,AIMS,117108,736,Tramway Road,"736 Tramway Road, Darfield",Selwyn District,,,,,,736,,,,Tramway,Road,,,,Darfield,Darfield,Thoroughfare,Current,172.14217762,-43.45791727,Tramway,,,Darfield,Darfield,Tramway Road,"736 Tramway Road, Darfield"
POINT (172.1102962667 -43.4818495075),151267,AIMS,142863,1,Kowhai Drive,"1 Kowhai Drive, Darfield",Selwyn District,,,,,,1,,,,Kowhai,Drive,,,,Darfield,Darfield,Thoroughfare,Current,172.11029627,-43.48184947,Kowhai,,,Darfield,Darfield,Kowhai Drive,"1 Kowhai Drive, Darfield"
POINT (172.18057805 -43.4704786407),1437890,AIMS,1254522,26,Cooks Road,"26 Cooks Road, Darfield",Selwyn District,,,,,,26,,,,Cooks,Road,,,,Darfield,Darfield,Thoroughfare,Current,172.18057805,-43.4704786,Cooks,,,Darfield,Darfield,Cooks Road,"26 Cooks Road, Darfield"
POINT (172.2932857 -43.7632630241),153829,AIMS,145262,10,Spring Place,"10 Spring Place, Leeston",Selwyn District,,,,,,10,,,,Spring,Place,,,,Leeston,Leeston,Thoroughfare,Current,172.2932857,-43.76326298,Spring,,,Leeston,Leeston,Spring Place,"10 Spring Place, Leeston"
POINT (172.2981347167 -43.7575526075),154039,AIMS,145469,16,Pound Road,"16 Pound Road, Leeston",Selwyn District,,,,,,16,,,,Pound,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.29813472,-43.75755257,Pound,,,Leeston,Leeston,Pound Road,"16 Pound Road, Leeston"
POINT (172.2973516667 -43.7664559408),154362,AIMS,145780,7,Woodville Street,"7 Woodville Street, Leeston",Selwyn District,,,,,,7,,,,Woodville,Street,,,,Leeston,Leeston,Thoroughfare,Current,172.29735167,-43.7664559,Woodville,,,Leeston,Leeston,Woodville Street,"7 Woodville Street, Leeston"
POINT (172.32795525 -43.7464121075),154556,AIMS,2692599,3,Petticoat Lane,"3 Petticoat Lane, Doyleston",Selwyn District,,,,,,3,,,,Petticoat,Lane,,,,Doyleston,Doyleston,Thoroughfare,Current,172.32795525,-43.74641207,Petticoat,,,Doyleston,Doyleston,Petticoat Lane,"3 Petticoat Lane, Doyleston"
POINT (172.2830770333 -43.7833495241),903943,AIMS,802838,23,Bluetts Road,"23 Bluetts Road, Leeston",Selwyn District,,,,,,23,,,,Bluetts,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.28307703,-43.78334948,Bluetts,,,Leeston,Leeston,Bluetts Road,"23 Bluetts Road, Leeston"
POINT (172.4367530667 -43.6960259241),1293938,AIMS,1143376,587,Days Road,"587 Days Road, Springston",Selwyn District,,,,,,587,,,,Days,Road,,,,Springston,Springston,Thoroughfare,Current,172.43675307,-43.69602588,Days,,,Springston,Springston,Days Road,"587 Days Road, Springston"
POINT (172.37191985 -43.5942626408),154872,AIMS,2688400,19,John Street,"19 John Street, Rolleston",Selwyn District,,,,,,19,,,,John,Street,,,,Rolleston,Rolleston,Thoroughfare,Current,172.37191985,-43.5942626,John,,,Rolleston,Rolleston,John Street,"19 John Street, Rolleston"
POINT (172.3675213167 -43.5970656241),1529752,AIMS,1330619,245,Rolleston Drive,"245 Rolleston Drive, Rolleston",Selwyn District,,,,,,245,,,,Rolleston,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.36752132,-43.59706558,Rolleston,,,Rolleston,Rolleston,Rolleston Drive,"245 Rolleston Drive, Rolleston"
POINT (172.3680426 -43.5973439908),1529802,AIMS,1330667,2,Henley Close,"2 Henley Close, Rolleston",Selwyn District,,,,,,2,,,,Henley,Close,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3680426,-43.59734395,Henley,,,Rolleston,Rolleston,Henley Close,"2 Henley Close, Rolleston"
POINT (172.2907826333 -43.6033965575),1585609,AIMS,2769584,139,Grange Road,"139 Grange Road, Burnham",Selwyn District,,,,,,139,,,,Grange,Road,,,,Burnham,Burnham,Thoroughfare,Current,172.29078263,-43.60339652,Grange,,,Burnham,Burnham,Grange Road,"139 Grange Road, Burnham"
POINT (172.38101465 -43.5890182908),1612648,AIMS,3197354,829,Jones Road,"829 Jones Road, Rolleston",Selwyn District,,,,,,829,,,,Jones,Road,,,,Rolleston,Rolleston,Thoroughfare,Current,172.38101465,-43.58901825,Jones,,,Rolleston,Rolleston,Jones Road,"829 Jones Road, Rolleston"
POINT (172.39239505 -43.5954444241),1650364,AIMS,1411109,37,Masefield Drive,"37 Masefield Drive, Rolleston",Selwyn District,,,,,,37,,,,Masefield,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.39239505,-43.59544438,Masefield,,,Rolleston,Rolleston,Masefield Drive,"37 Masefield Drive, Rolleston"
POINT (172.3955272 -43.5897839741),1716100,AIMS,3141449,25,Park Lane,"25 Park Lane, Rolleston",Selwyn District,,,,,,25,,,,Park,Lane,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3955272,-43.58978393,Park,,,Rolleston,Rolleston,Park Lane,"25 Park Lane, Rolleston"
POINT (172.3894839167 -43.6163005741),1766850,AIMS,3159222,1,Nettleship Way,"1 Nettleship Way, Rolleston",Selwyn District,,,,,,1,,,,Nettleship,Way,,,,Rolleston,Rolleston,Thoroughfare,Current,172.38948392,-43.61630053,Nettleship,,,Rolleston,Rolleston,Nettleship Way,"1 Nettleship Way, Rolleston"
POINT (172.3904031333 -43.6120765908),1856409,AIMS,3159947,10,Hungerford Drive,"10 Hungerford Drive, Rolleston",Selwyn District,,,,,,10,,,,Hungerford,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.39040313,-43.61207655,Hungerford,,,Rolleston,Rolleston,Hungerford Drive,"10 Hungerford Drive, Rolleston"
POINT (168.3510844 -46.6073233075),93548,AIMS,88345,57,Gunpit Road,"57 Gunpit Road, Bluff",Invercargill City,,,,,,57,,,,Gunpit,Road,,,,Bluff,Bluff,Thoroughfare,Current,168.3510844,-46.60732327,Gunpit,,,Bluff,Bluff,Gunpit Road,"57 Gunpit Road, Bluff"
POINT (172.4921930333 -43.6429850908),157727,AIMS,148958,14,Tod Place,"14 Tod Place, Lincoln",Selwyn District,,,,,,14,,,,Tod,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.49219303,-43.64298505,Tod,,,Lincoln,Lincoln,Tod Place,"14 Tod Place, Lincoln"
POINT (172.4892480667 -43.6356140075),157808,AIMS,149034,33,James Street,"33 James Street, Lincoln",Selwyn District,,,,,,33,,,,James,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.48924807,-43.63561397,James,,,Lincoln,Lincoln,James Street,"33 James Street, Lincoln"
POINT (172.5138544 -43.5777515241),159136,AIMS,150270,2,Blakes Road,"2 Blakes Road, Prebbleton",Selwyn District,,,,,,2,,,,Blakes,Road,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.5138544,-43.57775148,Blakes,,,Prebbleton,Prebbleton,Blakes Road,"2 Blakes Road, Prebbleton"
POINT (172.5126915167 -43.5826862741),159246,AIMS,150367,6,Edward Street,"6 Edward Street, Prebbleton",Selwyn District,,,,,,6,,,,Edward,Street,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.51269152,-43.58268623,Edward,,,Prebbleton,Prebbleton,Edward Street,"6 Edward Street, Prebbleton"
POINT (172.4940188167 -43.6454118741),405364,AIMS,1582037,8B,Kidson Lane,"8B Kidson Lane, Lincoln",Selwyn District,,,,,,8,B,,,Kidson,Lane,,,,Lincoln,Lincoln,Thoroughfare,Current,172.49401882,-43.64541183,Kidson,,,Lincoln,Lincoln,Kidson Lane,"8B Kidson Lane, Lincoln"
POINT (172.5287761167 -43.6263754241),908396,AIMS,1506195,108,Barnes Road,"108 Barnes Road, Lincoln",Selwyn District,,,,,,108,,,,Barnes,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.52877612,-43.62637538,Barnes,,,Lincoln,Lincoln,Barnes Road,"108 Barnes Road, Lincoln"
POINT (172.4839284667 -43.6452301241),1657033,AIMS,3157516,5,Kotuku Street,"5 Kotuku Street, Lincoln",Selwyn District,,,,,,5,,,,Kotuku,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.48392847,-43.64523008,Kotuku,,,Lincoln,Lincoln,Kotuku Street,"5 Kotuku Street, Lincoln"
POINT (172.4821943 -43.6455282241),1676678,AIMS,3157439,6,Aua Street,"6 Aua Street, Lincoln",Selwyn District,,,,,,6,,,,Aua,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4821943,-43.64552818,Aua,,,Lincoln,Lincoln,Aua Street,"6 Aua Street, Lincoln"
POINT (172.50811705 -43.5799086575),1696603,AIMS,3157823,4,Bellvue Drive,"4 Bellvue Drive, Prebbleton",Selwyn District,,,,,,4,,,,Bellvue,Drive,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.50811705,-43.57990862,Bellvue,,,Prebbleton,Prebbleton,Bellvue Drive,"4 Bellvue Drive, Prebbleton"
POINT (172.4963985333 -43.6449506408),1716333,AIMS,1451471,3,Gelens Place,"3 Gelens Place, Lincoln",Selwyn District,,,,,,3,,,,Gelens,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.49639853,-43.6449506,Gelens,,,Lincoln,Lincoln,Gelens Place,"3 Gelens Place, Lincoln"
POINT (172.4797942 -43.6470250741),1731285,AIMS,3157448,1,Turi Place,"1 Turi Place, Lincoln",Selwyn District,,,,,,1,,,,Turi,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4797942,-43.64702503,Turi,,,Lincoln,Lincoln,Turi Place,"1 Turi Place, Lincoln"
POINT (172.5291413833 -43.6281947075),1982515,AIMS,1517329,130,Barnes Road,"130 Barnes Road, Lincoln",Selwyn District,,,,,,130,,,,Barnes,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.52914138,-43.62819467,Barnes,,,Lincoln,Lincoln,Barnes Road,"130 Barnes Road, Lincoln"
POINT (172.4847421795 -43.6403122322),3126933,CADS,126933,5,Gerald Street,"5 Gerald Street, Lincoln",Selwyn District,,,,,,5,,,,Gerald,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.48474218,-43.64031219,Gerald,,,Lincoln,Lincoln,Gerald Street,"5 Gerald Street, Lincoln"
POINT (171.0453370333 -44.7318039076),122312,AIMS,115924,7,Innes Street,"7 Innes Street, Waimate",Waimate District,,,,,,7,,,,Innes,Street,,,,Waimate,Waimate,Thoroughfare,Current,171.04533703,-44.73180387,Innes,,,Waimate,Waimate,Innes Street,"7 Innes Street, Waimate"
POINT (171.029719 -44.7223300409),948255,AIMS,842022,9,Short Street,"9 Short Street, Waimate",Waimate District,,,,,,9,,,,Short,Street,,,,Waimate,Waimate,Thoroughfare,Current,171.029719,-44.72233,Short,,,Waimate,Waimate,Short Street,"9 Short Street, Waimate"
POINT (168.34661715 -46.6003828075),93387,AIMS,88191,30,Gore Street,"30 Gore Street, Bluff",Invercargill City,,,,,,30,,,,Gore,Street,,,,Bluff,Bluff,Thoroughfare,Current,168.34661715,-46.60038277,Gore,,,Bluff,Bluff,Gore Street,"30 Gore Street, Bluff"
POINT (168.3413433 -46.3814570241),88366,AIMS,83492,158,Drury Lane,"158 Drury Lane, Grasmere, Invercargill",Invercargill City,,,,,,158,,,,Drury,Lane,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3413433,-46.38145698,Drury,,,Grasmere,Invercargill,Drury Lane,"158 Drury Lane, Grasmere, Invercargill"
POINT (168.34178705 -46.3896862741),89008,AIMS,84120,3,Drury Lane,"3 Drury Lane, Grasmere, Invercargill",Invercargill City,,,,,,3,,,,Drury,Lane,,,,Grasmere,Invercargill,Thoroughfare,Current,168.34178705,-46.38968623,Drury,,,Grasmere,Invercargill,Drury Lane,"3 Drury Lane, Grasmere, Invercargill"
POINT (168.3454294 -46.4063825575),91790,AIMS,86760,110,Leven Street,"110 Leven Street, Avenal, Invercargill",Invercargill City,,,,,,110,,,,Leven,Street,,,,Avenal,Invercargill,Thoroughfare,Current,168.3454294,-46.40638252,Leven,,,Avenal,Invercargill,Leven Street,"110 Leven Street, Avenal, Invercargill"
POINT (168.3552463 -46.3923928408),94426,AIMS,89203,48,Park Street,"48 Park Street, Gladstone, Invercargill",Invercargill City,,,,,,48,,,,Park,Street,,,,Gladstone,Invercargill,Thoroughfare,Current,168.3552463,-46.3923928,Park,,,Gladstone,Invercargill,Park Street,"48 Park Street, Gladstone, Invercargill"
POINT (168.364242 -46.3982654075),94787,AIMS,89517,40,King Street,"40 King Street, Windsor, Invercargill",Invercargill City,,,,,,40,,,,King,Street,,,,Windsor,Invercargill,Thoroughfare,Current,168.364242,-46.39826537,King,,,Windsor,Invercargill,King Street,"40 King Street, Windsor, Invercargill"
POINT (168.35584845 -46.4169238908),95480,AIMS,90128,117,Eye Street,"117 Eye Street, Appleby, Invercargill",Invercargill City,,,,,,117,,,,Eye,Street,,,,Appleby,Invercargill,Thoroughfare,Current,168.35584845,-46.41692385,Eye,,,Appleby,Invercargill,Eye Street,"117 Eye Street, Appleby, Invercargill"
POINT (174.9230288833 -37.2219709865),1860980,AIMS,6453010,12,Glory Way,"12 Glory Way, Buckland, Pukekohe",Auckland,,,,,,12,,,,Glory,Way,,,,Buckland,Pukekohe,Thoroughfare,Current,174.92302888,-37.22197095,Glory,,,Buckland,Pukekohe,Glory Way,"12 Glory Way, Buckland, Pukekohe"
POINT (168.356704 -46.4274829741),96339,AIMS,90851,257,Ythan Street,"257 Ythan Street, Appleby, Invercargill",Invercargill City,,,,,,257,,,,Ythan,Street,,,,Appleby,Invercargill,Thoroughfare,Current,168.356704,-46.42748293,Ythan,,,Appleby,Invercargill,Ythan Street,"257 Ythan Street, Appleby, Invercargill"
POINT (168.36300535 -46.4397137741),96868,AIMS,91350,21,Ball Street,"21 Ball Street, Kingswell, Invercargill",Invercargill City,,,,,,21,,,,Ball,Street,,,,Kingswell,Invercargill,Thoroughfare,Current,168.36300535,-46.43971373,Ball,,,Kingswell,Invercargill,Ball Street,"21 Ball Street, Kingswell, Invercargill"
POINT (168.3585694 -46.4429948741),96937,AIMS,91418,34,Paisley Street,"34 Paisley Street, Kew, Invercargill",Invercargill City,,,,,,34,,,,Paisley,Street,,,,Kew,Invercargill,Thoroughfare,Current,168.3585694,-46.44299483,Paisley,,,Kew,Invercargill,Paisley Street,"34 Paisley Street, Kew, Invercargill"
POINT (168.3659738 -46.4474763741),102108,AIMS,96397,93,Hyde Street,"93 Hyde Street, Kingswell, Invercargill",Invercargill City,,,,,,93,,,,Hyde,Street,,,,Kingswell,Invercargill,Thoroughfare,Current,168.3659738,-46.44747633,Hyde,,,Kingswell,Invercargill,Hyde Street,"93 Hyde Street, Kingswell, Invercargill"
POINT (168.34759265 -46.3580643241),1539214,AIMS,2756575,689,North Road,"689 North Road, Lorneville, Invercargill",Invercargill City,,,,,,689,,,,North,Road,,,,Lorneville,Invercargill,Thoroughfare,Current,168.34759265,-46.35806428,North,,,Lorneville,Invercargill,North Road,"689 North Road, Lorneville, Invercargill"
POINT (168.3612446 -46.4432408575),1611065,AIMS,1385268,601,Elles Road,"601 Elles Road, Kew, Invercargill",Invercargill City,,,,,,601,,,,Elles,Road,,,,Kew,Invercargill,Thoroughfare,Current,168.3612446,-46.44324082,Elles,,,Kew,Invercargill,Elles Road,"601 Elles Road, Kew, Invercargill"
POINT (168.37440435 -46.3886415075),97871,AIMS,92337,157,Salford Street,"157 Salford Street, Rosedale, Invercargill",Invercargill City,,,,,,157,,,,Salford,Street,,,,Rosedale,Invercargill,Thoroughfare,Current,168.37440435,-46.38864147,Salford,,,Rosedale,Invercargill,Salford Street,"157 Salford Street, Rosedale, Invercargill"
POINT (168.3839369 -46.4104300408),104040,AIMS,98278,72,Dart Street,"72 Dart Street, Hawthorndale, Invercargill",Invercargill City,,,,,,72,,,,Dart,Street,,,,Hawthorndale,Invercargill,Thoroughfare,Current,168.3839369,-46.41043,Dart,,,Hawthorndale,Invercargill,Dart Street,"72 Dart Street, Hawthorndale, Invercargill"
POINT (168.3785961 -46.4188409408),104534,AIMS,98757,56,Dome Street,"56 Dome Street, Newfield, Invercargill",Invercargill City,,,,,,56,,,,Dome,Street,,,,Newfield,Invercargill,Thoroughfare,Current,168.3785961,-46.4188409,Dome,,,Newfield,Invercargill,Dome Street,"56 Dome Street, Newfield, Invercargill"
POINT (168.39471465 -46.3935799908),105642,AIMS,99851,46,Tuai Street,"46 Tuai Street, Ascot, Invercargill",Invercargill City,,,,,,46,,,,Tuai,Street,,,,Ascot,Invercargill,Thoroughfare,Current,168.39471465,-46.39357995,Tuai,,,Ascot,Invercargill,Tuai Street,"46 Tuai Street, Ascot, Invercargill"
POINT (168.39005475 -46.4193526408),107062,AIMS,101221,6,Wye Street,"6 Wye Street, Newfield, Invercargill",Invercargill City,,,,,,6,,,,Wye,Street,,,,Newfield,Invercargill,Thoroughfare,Current,168.39005475,-46.4193526,Wye,,,Newfield,Invercargill,Wye Street,"6 Wye Street, Newfield, Invercargill"
POINT (168.3841705024 -46.3620510992),3022903,CADS,22903,283E,McIvor Road,"283E McIvor Road, Waihopai, Invercargill",Invercargill City,,,,,,283,E,,,McIvor,Road,,,,Waihopai,Invercargill,Thoroughfare,Current,168.3841705,-46.36205106,McIvor,,,Waihopai,Invercargill,McIvor Road,"283E McIvor Road, Waihopai, Invercargill"
POINT (170.4850762167 -45.8683871242),25433,AIMS,24332,68,Ann Street,"68 Ann Street, Kaikorai, Dunedin",Dunedin City,,,,,,68,,,,Ann,Street,,,,Kaikorai,Dunedin,Thoroughfare,Current,170.48507622,-45.86838708,Ann,,,Kaikorai,Dunedin,Ann Street,"68 Ann Street, Kaikorai, Dunedin"
POINT (170.4659250167 -45.9119911076),1569946,AIMS,3148251,30,Westgate,"30 Westgate, Corstorphine, Dunedin",Dunedin City,,,,,,30,,,,Westgate,,,,,Corstorphine,Dunedin,Thoroughfare,Current,170.46592502,-45.91199107,Westgate,,,Corstorphine,Dunedin,Westgate,"30 Westgate, Corstorphine, Dunedin"
POINT (170.465889 -45.9131720742),1613084,AIMS,3148247,264D,Hillhead Road,"264D Hillhead Road, Corstorphine, Dunedin",Dunedin City,,,,,,264,D,,,Hillhead,Road,,,,Corstorphine,Dunedin,Thoroughfare,Current,170.465889,-45.91317203,Hillhead,,,Corstorphine,Dunedin,Hillhead Road,"264D Hillhead Road, Corstorphine, Dunedin"
POINT (170.4805237833 -45.9144199242),43531,AIMS,2750395,14,Clayton Street,"14 Clayton Street, Saint Clair, Dunedin",Dunedin City,,,,,,14,,,,Clayton,Street,,,,Saint Clair,Dunedin,Thoroughfare,Current,170.48052378,-45.91441988,Clayton,,,Saint Clair,Dunedin,Clayton Street,"14 Clayton Street, Saint Clair, Dunedin"
POINT (170.4812947167 -45.9146545576),43645,AIMS,2750404,22,Clayton Street,"22 Clayton Street, Saint Clair, Dunedin",Dunedin City,,,,,,22,,,,Clayton,Street,,,,Saint Clair,Dunedin,Thoroughfare,Current,170.48129472,-45.91465452,Clayton,,,Saint Clair,Dunedin,Clayton Street,"22 Clayton Street, Saint Clair, Dunedin"
POINT (170.4820279333 -45.9110880909),43972,AIMS,2750325,9,Aberdeen Road,"9 Aberdeen Road, Saint Clair, Dunedin",Dunedin City,,,,,,9,,,,Aberdeen,Road,,,,Saint Clair,Dunedin,Thoroughfare,Current,170.48202793,-45.91108805,Aberdeen,,,Saint Clair,Dunedin,Aberdeen Road,"9 Aberdeen Road, Saint Clair, Dunedin"
POINT (170.3378862667 -45.8764908742),27927,AIMS,26527,78,Bush Road,"78 Bush Road, Mosgiel",Dunedin City,,,,,,78,,,,Bush,Road,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.33788627,-45.87649083,Bush,,,Mosgiel,Mosgiel,Bush Road,"78 Bush Road, Mosgiel"
POINT (170.34275875 -45.8719275742),27674,AIMS,26295,7,Tyne Street,"7 Tyne Street, Mosgiel",Dunedin City,,,,,,7,,,,Tyne,Street,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.34275875,-45.87192753,Tyne,,,Mosgiel,Mosgiel,Tyne Street,"7 Tyne Street, Mosgiel"
POINT (170.3459522 -45.8744769576),28285,AIMS,26845,11,Bush Road,"11 Bush Road, Mosgiel",Dunedin City,,,,,,11,,,,Bush,Road,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.3459522,-45.87447692,Bush,,,Mosgiel,Mosgiel,Bush Road,"11 Bush Road, Mosgiel"
POINT (170.3523278667 -45.8855169576),29262,AIMS,27730,10,Burns Street,"10 Burns Street, Mosgiel",Dunedin City,,,,,,10,,,,Burns,Street,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.35232787,-45.88551692,Burns,,,Mosgiel,Mosgiel,Burns Street,"10 Burns Street, Mosgiel"
POINT (170.3501641667 -45.8941026242),29323,AIMS,27788,19,Braeside,"19 Braeside, Kinmont Park, Mosgiel",Dunedin City,,,,,,19,,,,Braeside,,,,,Kinmont Park,Mosgiel,Thoroughfare,Current,170.35016417,-45.89410258,Braeside,,,Kinmont Park,Mosgiel,Braeside,"19 Braeside, Kinmont Park, Mosgiel"
POINT (170.3487970833 -45.8884766409),29383,AIMS,27848,27,Gow Street,"27 Gow Street, Mosgiel",Dunedin City,,,,,,27,,,,Gow,Street,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.34879708,-45.8884766,Gow,,,Mosgiel,Mosgiel,Gow Street,"27 Gow Street, Mosgiel"
POINT (170.3571976833 -45.8793774742),30293,AIMS,2770697,10,Kent Place,"10 Kent Place, Mosgiel",Dunedin City,,,,,,10,,,,Kent,Place,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.35719768,-45.87937743,Kent,,,Mosgiel,Mosgiel,Kent Place,"10 Kent Place, Mosgiel"
POINT (170.3569731667 -45.8789041242),30342,AIMS,2770700,13,Kent Place,"13 Kent Place, Mosgiel",Dunedin City,,,,,,13,,,,Kent,Place,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.35697317,-45.87890408,Kent,,,Mosgiel,Mosgiel,Kent Place,"13 Kent Place, Mosgiel"
POINT (177.1067985333 -37.9819145373),1940295,AIMS,6794963,8,William Place,"8 William Place, Ōhope",Whakatane District,,,,,,8,,,,William,Place,,,,Ōhope,Ōhope,Thoroughfare,Current,177.10679853,-37.9819145,William,,,Ohope,Ohope,William Place,"8 William Place, Ohope"
POINT (170.3455891667 -45.8785724909),55637,AIMS,2793483,20,Ayr Street,"20 Ayr Street, Mosgiel",Dunedin City,,,,,,20,,,,Ayr,Street,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.34558917,-45.87857245,Ayr,,,Mosgiel,Mosgiel,Ayr Street,"20 Ayr Street, Mosgiel"
POINT (170.4166679667 -45.8912442576),32689,AIMS,2795612,9,Lambert Street,"9 Lambert Street, Abbotsford, Dunedin",Dunedin City,,,,,,9,,,,Lambert,Street,,,,Abbotsford,Dunedin,Thoroughfare,Current,170.41666797,-45.89124422,Lambert,,,Abbotsford,Dunedin,Lambert Street,"9 Lambert Street, Abbotsford, Dunedin"
POINT (170.3231186333 -45.8811010076),59087,AIMS,55972,207,Bush Road,"207 Bush Road, Mosgiel",Dunedin City,,,,,,207,,,,Bush,Road,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.32311863,-45.88110097,Bush,,,Mosgiel,Mosgiel,Bush Road,"207 Bush Road, Mosgiel"
POINT (170.3222826833 -45.8808206576),59108,AIMS,55991,212,Bush Road,"212 Bush Road, Mosgiel",Dunedin City,,,,,,212,,,,Bush,Road,,,,Mosgiel,Mosgiel,Thoroughfare,Current,170.32228268,-45.88082062,Bush,,,Mosgiel,Mosgiel,Bush Road,"212 Bush Road, Mosgiel"
