geometry,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii
POINT (174.7641007 -36.9039234194),1127085,AIMS,997037,5,Bingley Avenue,"5 Bingley Avenue, Epsom, Auckland",Auckland,,,,,,5,,,,Bingley,Avenue,,,,Epsom,Auckland,Thoroughfare,Current,174.7641007,-36.90392338,Bingley,,,Epsom,Auckland,Bingley Avenue,"5 Bingley Avenue, Epsom, Auckland"
POINT (174.7617489333 -36.9088819528),1127552,AIMS,997385,2,Rowan Road,"2 Rowan Road, Epsom, Auckland",Auckland,,,,,,2,,,,Rowan,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.76174893,-36.90888192,Rowan,,,Epsom,Auckland,Rowan Road,"2 Rowan Road, Epsom, Auckland"
POINT (174.7638788333 -36.9075601694),1127843,AIMS,997592,77,Buckley Road,"77 Buckley Road, Epsom, Auckland",Auckland,,,,,,77,,,,Buckley,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.76387883,-36.90756013,Buckley,,,Epsom,Auckland,Buckley Road,"77 Buckley Road, Epsom, Auckland"
POINT (174.7568023667 -36.9187411195),1128012,AIMS,1641105,15A,Littlejohn Street,"15A Littlejohn Street, Hillsborough, Auckland",Auckland,,,,,,15,A,,,Littlejohn,Street,,,,Hillsborough,Auckland,Thoroughfare,Current,174.75680237,-36.91874108,Littlejohn,,,Hillsborough,Auckland,Littlejohn Street,"15A Littlejohn Street, Hillsborough, Auckland"
POINT (174.7579419667 -36.9152484861),1128171,AIMS,997849,2,Carr Road,"2 Carr Road, Three Kings, Auckland",Auckland,,,,,,2,,,,Carr,Road,,,,Three Kings,Auckland,Thoroughfare,Current,174.75794197,-36.91524845,Carr,,,Three Kings,Auckland,Carr Road,"2 Carr Road, Three Kings, Auckland"
POINT (174.7622432833 -36.9247788029),1128342,AIMS,998002,63,Frederick Street,"63 Frederick Street, Hillsborough, Auckland",Auckland,,,,,,63,,,,Frederick,Street,,,,Hillsborough,Auckland,Thoroughfare,Current,174.76224328,-36.92477877,Frederick,,,Hillsborough,Auckland,Frederick Street,"63 Frederick Street, Hillsborough, Auckland"
POINT (174.7604757167 -36.9158268861),1128394,AIMS,998047,7,Herd Road,"7 Herd Road, Hillsborough, Auckland",Auckland,,,,,,7,,,,Herd,Road,,,,Hillsborough,Auckland,Thoroughfare,Current,174.76047572,-36.91582685,Herd,,,Hillsborough,Auckland,Herd Road,"7 Herd Road, Hillsborough, Auckland"
POINT (174.7727478667 -36.7880302527),1131069,AIMS,1000211,45,Hurstmere Road,"45 Hurstmere Road, Takapuna, Auckland",Auckland,,,,,,45,,,,Hurstmere,Road,,,,Takapuna,Auckland,Thoroughfare,Current,174.77274787,-36.78803022,Hurstmere,,,Takapuna,Auckland,Hurstmere Road,"45 Hurstmere Road, Takapuna, Auckland"
POINT (174.7723092667 -36.8680550861),1132739,AIMS,3193934,13,Maungawhau Road,"13 Maungawhau Road, Epsom, Auckland",Auckland,,,,,,13,,,,Maungawhau,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77230927,-36.86805505,Maungawhau,,,Epsom,Auckland,Maungawhau Road,"13 Maungawhau Road, Epsom, Auckland"
POINT (174.7747883667 -36.8904057528),1133911,AIMS,1002568,351,Manukau Road,"351 Manukau Road, Epsom, Auckland",Auckland,,,,,,351,,,,Manukau,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77478837,-36.89040572,Manukau,,,Epsom,Auckland,Manukau Road,"351 Manukau Road, Epsom, Auckland"
POINT (174.7740712167 -36.8850029028),1134101,AIMS,1002721,64,Ranfurly Road,"64 Ranfurly Road, Epsom, Auckland",Auckland,,,,,,64,,,,Ranfurly,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77407122,-36.88500287,Ranfurly,,,Epsom,Auckland,Ranfurly Road,"64 Ranfurly Road, Epsom, Auckland"
POINT (174.7674558 -36.8999443194),1134365,AIMS,1641776,149A,The Drive,"149A The Drive, Epsom, Auckland",Auckland,,,,,,149,A,,,The Drive,,,,,Epsom,Auckland,Thoroughfare,Current,174.7674558,-36.89994428,The Drive,,,Epsom,Auckland,The Drive,"149A The Drive, Epsom, Auckland"
POINT (174.7746114167 -36.8963201694),1134477,AIMS,1003023,1,Gardner Road,"1 Gardner Road, Epsom, Auckland",Auckland,,,,,,1,,,,Gardner,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77461142,-36.89632013,Gardner,,,Epsom,Auckland,Gardner Road,"1 Gardner Road, Epsom, Auckland"
POINT (174.7725024167 -36.8992617194),1134655,AIMS,1003168,2,Empire Road,"2 Empire Road, Epsom, Auckland",Auckland,,,,,,2,,,,Empire,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77250242,-36.89926168,Empire,,,Epsom,Auckland,Empire Road,"2 Empire Road, Epsom, Auckland"
POINT (174.7692389667 -36.9112038694),1135158,AIMS,1003563,115,Pah Road,"115 Pah Road, Royal Oak, Auckland",Auckland,,,,,,115,,,,Pah,Road,,,,Royal Oak,Auckland,Thoroughfare,Current,174.76923897,-36.91120383,Pah,,,Royal Oak,Auckland,Pah Road,"115 Pah Road, Royal Oak, Auckland"
POINT (174.7713304667 -36.9102181361),1135289,AIMS,1003678,18,Acorn Street,"18 Acorn Street, Royal Oak, Auckland",Auckland,,,,,,18,,,,Acorn,Street,,,,Royal Oak,Auckland,Thoroughfare,Current,174.77133047,-36.9102181,Acorn,,,Royal Oak,Auckland,Acorn Street,"18 Acorn Street, Royal Oak, Auckland"
POINT (174.76628475 -36.9079190028),1135556,AIMS,1746872,4B,Peet Avenue,"4B Peet Avenue, Royal Oak, Auckland",Auckland,,,,,,4,B,,,Peet,Avenue,,,,Royal Oak,Auckland,Thoroughfare,Current,174.76628475,-36.90791897,Peet,,,Royal Oak,Auckland,Peet Avenue,"4B Peet Avenue, Royal Oak, Auckland"
POINT (174.77036995 -36.9053091028),1135635,AIMS,1641950,65A,Pah Road,"65A Pah Road, Epsom, Auckland",Auckland,,,,,,65,A,,,Pah,Road,,,,Epsom,Auckland,Thoroughfare,Current,174.77036995,-36.90530907,Pah,,,Epsom,Auckland,Pah Road,"65A Pah Road, Epsom, Auckland"
POINT (174.7748324 -36.9200467362),1135868,AIMS,1004158,14,Forbes Street,"14 Forbes Street, Onehunga, Auckland",Auckland,,,,,,14,,,,Forbes,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.7748324,-36.9200467,Forbes,,,Onehunga,Auckland,Forbes Street,"14 Forbes Street, Onehunga, Auckland"
POINT (174.7735484667 -36.9215628695),1135948,AIMS,1004224,22,Arthur Street,"22 Arthur Street, Onehunga, Auckland",Auckland,,,,,,22,,,,Arthur,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.77354847,-36.92156283,Arthur,,,Onehunga,Auckland,Arthur Street,"22 Arthur Street, Onehunga, Auckland"
POINT (174.7808397333 -36.7962717027),1138546,AIMS,1006335,17,Hauraki Road,"17 Hauraki Road, Hauraki, Auckland",Auckland,,,,,,17,,,,Hauraki,Road,,,,Hauraki,Auckland,Thoroughfare,Current,174.78083973,-36.79627167,Hauraki,,,Hauraki,Auckland,Hauraki Road,"17 Hauraki Road, Hauraki, Auckland"
POINT (174.7818395667 -36.8075835693),1139570,AIMS,1007214,6,Keys Street,"6 Keys Street, Belmont, Auckland",Auckland,,,,,,6,,,,Keys,Street,,,,Belmont,Auckland,Thoroughfare,Current,174.78183957,-36.80758353,Keys,,,Belmont,Auckland,Keys Street,"6 Keys Street, Belmont, Auckland"
POINT (174.7826310333 -36.8072076527),1139713,AIMS,1007345,9,Evan Street,"9 Evan Street, Belmont, Auckland",Auckland,,,,,,9,,,,Evan,Street,,,,Belmont,Auckland,Thoroughfare,Current,174.78263103,-36.80720762,Evan,,,Belmont,Auckland,Evan Street,"9 Evan Street, Belmont, Auckland"
POINT (174.7765786333 -36.825416136),1139949,AIMS,1007527,5,First Avenue,"5 First Avenue, Stanley Point, Auckland",Auckland,,,,,,5,,,,First,Avenue,,,,Stanley Point,Auckland,Thoroughfare,Current,174.77657863,-36.8254161,First,,,Stanley Point,Auckland,First Avenue,"5 First Avenue, Stanley Point, Auckland"
POINT (174.7788428833 -36.8514745028),1140079,AIMS,1007620,15,Bath Street,"15 Bath Street, Parnell, Auckland",Auckland,,,,,,15,,,,Bath,Street,,,,Parnell,Auckland,Thoroughfare,Current,174.77884288,-36.85147447,Bath,,,Parnell,Auckland,Bath Street,"15 Bath Street, Parnell, Auckland"
POINT (174.7777422333 -36.9234168529),1143289,AIMS,3483657,12,Church Street,"12 Church Street, Onehunga, Auckland",Auckland,,,,,,12,,,,Church,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.77774223,-36.92341682,Church,,,Onehunga,Auckland,Church Street,"12 Church Street, Onehunga, Auckland"
POINT (174.7833697167 -36.9185023029),1143698,AIMS,1010428,52,Grey Street,"52 Grey Street, Onehunga, Auckland",Auckland,,,,,,52,,,,Grey,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.78336972,-36.91850227,Grey,,,Onehunga,Auckland,Grey Street,"52 Grey Street, Onehunga, Auckland"
POINT (174.7837430333 -36.9184680862),1143727,AIMS,1010450,56,Grey Street,"56 Grey Street, Onehunga, Auckland",Auckland,,,,,,56,,,,Grey,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.78374303,-36.91846805,Grey,,,Onehunga,Auckland,Grey Street,"56 Grey Street, Onehunga, Auckland"
POINT (174.7814402333 -36.9208776195),1143966,AIMS,1010655,98,Arthur Street,"98 Arthur Street, Onehunga, Auckland",Auckland,,,,,,98,,,,Arthur,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.78144023,-36.92087758,Arthur,,,Onehunga,Auckland,Arthur Street,"98 Arthur Street, Onehunga, Auckland"
POINT (174.7896977667 -36.8118642193),1146286,AIMS,1012643,16,Cassino Street,"16 Cassino Street, Bayswater, Auckland",Auckland,,,,,,16,,,,Cassino,Street,,,,Bayswater,Auckland,Thoroughfare,Current,174.78969777,-36.81186418,Cassino,,,Bayswater,Auckland,Cassino Street,"16 Cassino Street, Bayswater, Auckland"
POINT (174.7851643833 -36.8060059027),1146634,AIMS,1012940,33,Bardia Street,"33 Bardia Street, Belmont, Auckland",Auckland,,,,,,33,,,,Bardia,Street,,,,Belmont,Auckland,Thoroughfare,Current,174.78516438,-36.80600587,Bardia,,,Belmont,Auckland,Bardia Street,"33 Bardia Street, Belmont, Auckland"
POINT (174.7904973833 -36.8127161693),1146711,AIMS,1013008,41,Regent Street,"41 Regent Street, Devonport, Auckland",Auckland,,,,,,41,,,,Regent,Street,,,,Devonport,Auckland,Thoroughfare,Current,174.79049738,-36.81271613,Regent,,,Devonport,Auckland,Regent Street,"41 Regent Street, Devonport, Auckland"
POINT (174.78882295 -36.8520789528),1148065,AIMS,1643308,3A,Rota Place,"3A Rota Place, Parnell, Auckland",Auckland,,,,,,3,A,,,Rota,Place,,,,Parnell,Auckland,Thoroughfare,Current,174.78882295,-36.85207892,Rota,,,Parnell,Auckland,Rota Place,"3A Rota Place, Parnell, Auckland"
POINT (174.78938425 -36.8616317361),1148277,AIMS,1014395,17,Elam Street,"17 Elam Street, Parnell, Auckland",Auckland,,,,,,17,,,,Elam,Street,,,,Parnell,Auckland,Thoroughfare,Current,174.78938425,-36.8616317,Elam,,,Parnell,Auckland,Elam Street,"17 Elam Street, Parnell, Auckland"
POINT (174.7887222 -36.8616925528),1148376,AIMS,1014473,2,Elam Street,"2 Elam Street, Parnell, Auckland",Auckland,,,,,,2,,,,Elam,Street,,,,Parnell,Auckland,Thoroughfare,Current,174.7887222,-36.86169252,Elam,,,Parnell,Auckland,Elam Street,"2 Elam Street, Parnell, Auckland"
POINT (174.7918532 -36.8670245361),1148613,AIMS,1014670,100,Arney Road,"100 Arney Road, Remuera, Auckland",Auckland,,,,,,100,,,,Arney,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.7918532,-36.8670245,Arney,,,Remuera,Auckland,Arney Road,"100 Arney Road, Remuera, Auckland"
POINT (174.7932463667 -36.8701570194),1149141,AIMS,1015114,58,Bell Road,"58 Bell Road, Remuera, Auckland",Auckland,,,,,,58,,,,Bell,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.79324637,-36.87015698,Bell,,,Remuera,Auckland,Bell Road,"58 Bell Road, Remuera, Auckland"
POINT (174.7914986833 -36.8814028528),1149408,AIMS,2687566,12,Omahu Road,"12 Omahu Road, Remuera, Auckland",Auckland,,,,,,12,,,,Omahu,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.79149868,-36.88140282,Omahu,,,Remuera,Auckland,Omahu Road,"12 Omahu Road, Remuera, Auckland"
POINT (174.7890661667 -36.9092813528),1151240,AIMS,1016800,40,Tawa Road,"40 Tawa Road, Onehunga, Auckland",Auckland,,,,,,40,,,,Tawa,Road,,,,Onehunga,Auckland,Thoroughfare,Current,174.78906617,-36.90928132,Tawa,,,Onehunga,Auckland,Tawa Road,"40 Tawa Road, Onehunga, Auckland"
POINT (174.7850667 -36.9124423694),1151665,AIMS,1017163,8,Huapai Street,"8 Huapai Street, Onehunga, Auckland",Auckland,,,,,,8,,,,Huapai,Street,,,,Onehunga,Auckland,Thoroughfare,Current,174.7850667,-36.91244233,Huapai,,,Onehunga,Auckland,Huapai Street,"8 Huapai Street, Onehunga, Auckland"
POINT (174.7964184333 -36.8113844027),1156062,AIMS,1020934,9,Hemi Street,"9 Hemi Street, Narrow Neck, Auckland",Auckland,,,,,,9,,,,Hemi,Street,,,,Narrow Neck,Auckland,Thoroughfare,Current,174.79641843,-36.81138437,Hemi,,,Narrow Neck,Auckland,Hemi Street,"9 Hemi Street, Narrow Neck, Auckland"
POINT (174.7985365167 -36.824304936),1156470,AIMS,2823806,4,Lake Road,"4 Lake Road, Devonport, Auckland",Auckland,,,,,,4,,,,Lake,Road,,,,Devonport,Auckland,Thoroughfare,Current,174.79853652,-36.8243049,Lake,,,Devonport,Auckland,Lake Road,"4 Lake Road, Devonport, Auckland"
POINT (174.7984847833 -36.8242054527),1156559,AIMS,2823509,6,Lake Road,"6 Lake Road, Devonport, Auckland",Auckland,,,,,,6,,,,Lake,Road,,,,Devonport,Auckland,Thoroughfare,Current,174.79848478,-36.82420542,Lake,,,Devonport,Auckland,Lake Road,"6 Lake Road, Devonport, Auckland"
POINT (174.80293845 -36.8668183361),1157882,AIMS,1022500,42,Sonia Avenue,"42 Sonia Avenue, Remuera, Auckland",Auckland,,,,,,42,,,,Sonia,Avenue,,,,Remuera,Auckland,Thoroughfare,Current,174.80293845,-36.8668183,Sonia,,,Remuera,Auckland,Sonia Avenue,"42 Sonia Avenue, Remuera, Auckland"
POINT (174.8036461667 -36.8795760694),1158168,AIMS,1022736,15,Orakei Road,"15 Orakei Road, Remuera, Auckland",Auckland,,,,,,15,,,,Orakei,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.80364617,-36.87957603,Orakei,,,Remuera,Auckland,Orakei Road,"15 Orakei Road, Remuera, Auckland"
