id,building_id,name,use,suburb_locality,town_city,territorial_authority,capture_method,capture_source_group,capture_source_id,capture_source_name,capture_source_from,capture_source_to,last_modified
layer-101290.2529061,2529061,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529401,2529401,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529511,2529511,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529593,2529593,,Unknown,Blaketown,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529564,2529564,,Unknown,Blaketown,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529711,2529711,,Unknown,Blaketown,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2529793,2529793,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2530184,2530184,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2530527,2530527,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2530788,2530788,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2531171,2531171,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2531230,2531230,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2531250,2531250,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2531287,2531287,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2531979,2531979,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2532140,2532140,,Unknown,Blaketown,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2532395,2532395,,Unknown,Kumara,Greymouth,Westland District,Feature Extraction,NZ Aerial Imagery,1016,West Coast 0.3m Rural Aerial Photos (2016-2017),2017-02-08,2017-03-09,2019-02-18
layer-101290.2532535,2532535,,Unknown,Kumara,Greymouth,Westland District,Feature Extraction,NZ Aerial Imagery,1016,West Coast 0.3m Rural Aerial Photos (2016-2017),2017-02-08,2017-03-09,2019-02-18
layer-101290.2532647,2532647,,Unknown,Kumara,Greymouth,Westland District,Feature Extraction,NZ Aerial Imagery,1016,West Coast 0.3m Rural Aerial Photos (2016-2017),2017-02-08,2017-03-09,2019-02-18
layer-101290.2532722,2532722,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2532736,2532736,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2532801,2532801,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2532824,2532824,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533119,2533119,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533165,2533165,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533203,2533203,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533769,2533769,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533794,2533794,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2533809,2533809,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534017,2534017,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534290,2534290,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534399,2534399,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534501,2534501,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534604,2534604,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534647,2534647,,Unknown,Cobden,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534797,2534797,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2534838,2534838,,Unknown,Karoro,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2535035,2535035,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
