area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq,area_label,area_code
Auckland,Boarding House,1,1104,882,939,348,293,340,400,88,3.14,5.8189,0.2567,283,400,Auckland,076
Auckland,Boarding House,2,39,18,42,531,480,550,580,75,3.27,6.2639,0.15,475,581,Auckland,076
Auckland,Boarding House,3,6,3,12,657,660,710,731,154,3.23,6.4523,0.3124,514,783,Auckland,076
Auckland,Boarding House,5+,6,6,6,514,255,300,825,398,3.52,6.0043,0.7366,247,666,Auckland,076
Auckland,Boarding House,NA,78,54,78,360,266,345,440,115,3.22,5.8395,0.309,279,423,Auckland,076
Auckland,Flat,1,1272,1449,5022,447,395,448,495,131,3.62,6.0643,0.2931,353,524,Auckland,076
Auckland,Flat,2,2136,2718,9525,563,520,550,600,107,3.74,6.3162,0.1939,486,631,Auckland,076
Auckland,Flat,3,249,390,1488,692,600,670,750,158,3.82,6.5193,0.1968,594,774,Auckland,076
Auckland,Flat,4,51,87,285,871,776,885,946,176,3.6,6.7476,0.2189,735,988,Auckland,076
Auckland,Flat,5+,18,21,108,1026,945,1065,1106,169,3.75,6.9188,0.1814,895,1143,Auckland,076
Auckland,Flat,NA,138,174,651,470,360,430,530,249,3.36,6.0772,0.3799,337,563,Auckland,076
Auckland,House,1,2352,2025,4074,445,353,450,520,125,3.72,6.0551,0.3221,343,530,Auckland,076
Auckland,House,2,8199,6435,20157,611,550,600,650,142,3.83,6.3977,0.1877,529,682,Auckland,076
Auckland,House,3,14307,12900,45462,735,650,700,780,164,3.86,6.5812,0.1904,634,820,Auckland,076
Auckland,House,4,7284,6177,21384,901,780,850,950,261,3.87,6.7744,0.2358,746,1026,Auckland,076
Auckland,House,5,12,0,24,847,750,870,915,149,3.35,6.7279,0.1728,743,939,Auckland,076
Auckland,House,5+,2289,1905,6879,1107,915,1050,1220,348,3.87,6.9696,0.2837,879,1288,Auckland,076
Auckland,House,NA,4836,5460,16050,716,570,690,830,234,3.88,6.5203,0.3358,541,851,Auckland,076
Auckland,Room,1,2040,1968,2682,330,250,300,390,135,2.97,5.732,0.3562,243,392,Auckland,076
Auckland,Room,2,18,6,18,547,460,540,613,118,3.65,6.282,0.2153,463,618,Auckland,076
Auckland,Room,3,6,3,0,258,211,335,343,147,3.33,5.3812,0.788,128,370,Auckland,076
Auckland,Room,4,6,6,9,417,329,360,428,280,3.03,5.8372,0.7129,212,554,Auckland,076
Auckland,Room,NA,96,90,147,357,253,370,450,134,2.63,5.7711,0.619,211,487,Auckland,076
